sample_id,predicted_class,runner_up_class,top_genes_for_predicted_class,top_genes_for_runner_up_class
GSM2591146,NR,TCMR,"64332(0.033), 5629(0.030), 4609(0.020), 3976(0.019), 23780(0.018), 7424(0.016), 3572(0.015), 2034(0.013), 3606(0.013), 51176(0.013), 1244(0.010), 57619(0.010), 6908(0.009), 83595(0.009), 4600(0.008)","966(0.046), 3620(0.034), 2833(0.034), 57379(0.033), 6559(0.032), 6374(0.027), 3135(0.021), 1285(0.021), 2308(0.019), 51365(0.016), 4599(0.011), 841(0.011), 6059(0.000), 604(0.000), 6300(0.000)"
GSM2591195,ABMR,NR,"4600(0.043), 6389(0.039), 4502(0.036), 5603(0.034), 4792(0.033), 356(0.030), 10630(0.030), 2213(0.028), 3595(0.027), 6280(0.026), 1281(0.024), 919(0.024), 59307(0.023), 55540(0.023), 10578(0.021)","3606(0.004), 6363(0.000), 6256(0.000), 627(0.000), 6279(0.000), 6283(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6382(0.000), 598(0.000), 6349(0.000), 6351(0.000), 6352(0.000), 5771(0.000)"
GSM2591272,NR,ABMR,"6892(0.002), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 6376(0.000), 6382(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6256(0.000), 6357(0.000), 6359(0.000), 5778(0.000)","1521(0.055), 939(0.047), 3575(0.038), 3537(0.038), 1240(0.038), 9172(0.034), 834(0.033), 57379(0.030), 4162(0.030), 10578(0.028), 857(0.027), 84465(0.025), 10747(0.024), 3717(0.024), 3455(0.023)"
GSM2591284,NR,ABMR,"4818(0.012), 6357(0.000), 6143(0.000), 6194(0.000), 6198(0.000), 6256(0.000), 6366(0.000), 6367(0.000), 6373(0.000), 6374(0.000), 6352(0.000), 629(0.000), 6300(0.000), 6347(0.000), 5743(0.000)","9834(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 9771(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2591315,ABMR,TCMR,"51365(0.077), 117157(0.055), 1521(0.044), 640(0.037), 5551(0.037), 3002(0.035), 5450(0.035), 3821(0.034), 5595(0.033), 8995(0.031), 1514(0.030), 941(0.030), 3560(0.028), 6194(0.026), 3664(0.024)","2212(0.053), 3001(0.045), 4087(0.031), 2353(0.031), 23569(0.027), 2213(0.022), 10769(0.021), 3552(0.014), 374918(0.007), 57381(0.005), 7177(0.005), 117157(0.001), 115361(0.001), 6357(0.000), 6095(0.000)"
GSM2591317,NR,ABMR,"3482(0.003), 6194(0.000), 6198(0.000), 6256(0.000), 627(0.000), 6279(0.000), 6373(0.000), 6374(0.000), 6375(0.000), 629(0.000), 6300(0.000), 6359(0.000), 6349(0.000), 6351(0.000), 57619(0.000)","2014(0.052), 8743(0.038), 51278(0.035), 3821(0.034), 944(0.033), 7356(0.029), 1012(0.029), 7050(0.029), 2920(0.028), 356(0.026), 9636(0.024), 8841(0.023), 3501(0.023), 2152(0.021), 57381(0.021)"
GSM2591373,NR,ABMR,"25939(0.078), 7189(0.055), 3593(0.048), 3664(0.048), 4323(0.044), 944(0.033), 1514(0.031), 6503(0.031), 1305(0.028), 3567(0.024), 2014(0.024), 10219(0.021), 3802(0.021), 22914(0.018), 8638(0.016)","1896(0.096), 2826(0.089), 4851(0.016), 3716(0.006), 713(0.004), 3574(0.002), 627(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000)"
GSM2591384,NR,ABMR,"9834(0.000), 10010(0.000), 10013(0.000), 9771(0.000), 10018(0.000), 1003(0.000), 975(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)","30009(0.117), 29126(0.078), 6559(0.075), 716(0.065), 4318(0.064), 100133941(0.052), 8778(0.039), 729238(0.038), 6351(0.034), 51348(0.032), 5600(0.026), 3105(0.026), 567(0.026), 6376(0.025), 9771(0.024)"
GSM2591403,NR,ABMR,"90865(0.036), 2357(0.026), 4818(0.021), 836(0.021), 941(0.020), 115362(0.017), 3458(0.015), 28602(0.013), 359(0.013), 640(0.011), 51338(0.011), 4283(0.011), 1432(0.009), 3429(0.008), 59307(0.008)","221472(0.093), 3687(0.018), 1432(0.015), 3603(0.011), 3429(0.010), 79760(0.005), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000)"
GSM2591431,NR,ABMR,"3594(0.007), 3439(0.003), 6359(0.000), 6194(0.000), 6198(0.000), 6256(0.000), 627(0.000), 6279(0.000), 6367(0.000), 6373(0.000), 6374(0.000), 629(0.000), 50615(0.000), 6347(0.000), 6349(0.000)","4015(0.045), 115361(0.044), 7851(0.043), 650(0.039), 10461(0.034), 6389(0.034), 84166(0.033), 51365(0.031), 7097(0.029), 10578(0.028), 143903(0.027), 79760(0.027), 1012(0.027), 3596(0.025), 6597(0.025)"
GSM2591445,ABMR,NR,"51365(0.061), 4233(0.061), 718(0.054), 1393(0.047), 3569(0.046), 4321(0.042), 3119(0.036), 23569(0.033), 3560(0.032), 2209(0.031), 83888(0.029), 2357(0.028), 4684(0.028), 5600(0.024), 201633(0.023)","9834(0.000), 10010(0.000), 10013(0.000), 9771(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2591446,NR,ABMR,"51365(0.089), 3373(0.069), 3572(0.058), 919(0.048), 861(0.043), 7851(0.041), 150372(0.041), 101(0.040), 6776(0.038), 712(0.033), 5800(0.031), 6672(0.030), 7097(0.030), 5368(0.026), 3669(0.025)","168667(0.081), 51284(0.076), 3821(0.074), 6389(0.066), 6714(0.065), 598(0.027), 6648(0.012), 5368(0.011), 5777(0.009), 4068(0.006), 602(0.000), 604(0.000), 6349(0.000), 6351(0.000), 629(0.000)"
GSM2591482,ABMR,NR,"59(0.048), 7940(0.044), 83595(0.044), 2213(0.043), 3107(0.040), 143903(0.035), 1282(0.034), 168667(0.033), 8542(0.031), 5788(0.029), 6503(0.028), 9518(0.028), 5154(0.027), 4582(0.027), 10288(0.025)","55423(0.003), 6256(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6373(0.000), 6374(0.000), 6285(0.000), 629(0.000), 6198(0.000), 6349(0.000), 6351(0.000), 6352(0.000), 57619(0.000)"
GSM2591504,NR,ABMR,"9023(0.001), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 598(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6352(0.000), 4868(0.000), 6359(0.000), 6194(0.000), 6363(0.000)","3725(0.041), 4837(0.040), 3371(0.039), 8542(0.038), 28639(0.037), 10561(0.033), 301(0.031), 3501(0.030), 710(0.026), 684(0.025), 9180(0.024), 2353(0.023), 3455(0.022), 359(0.021), 10392(0.021)"
GSM2591514,NR,ABMR,"654(0.019), 4790(0.007), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 598(0.000), 6375(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 5817(0.000), 6357(0.000), 6359(0.000)","3569(0.056), 3815(0.045), 51365(0.039), 4502(0.039), 1012(0.038), 3575(0.035), 5154(0.033), 6351(0.032), 6256(0.031), 3125(0.030), 3439(0.027), 3107(0.026), 959(0.025), 301(0.024), 2204(0.023)"
GSM2591532,TCMR,NR,"3958(0.071), 10538(0.056), 6892(0.052), 9437(0.050), 6363(0.038), 19(0.036), 3626(0.023), 3551(0.020), 728(0.001), 55051(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000)","2625(0.101), 3811(0.067), 3593(0.066), 719(0.062), 1788(0.054), 941(0.051), 1244(0.049), 5450(0.042), 3565(0.037), 1493(0.031), 10769(0.024), 912(0.020), 728(0.018), 567(0.018), 3146(0.018)"
GSM2591578,ABMR,NR,"51176(0.055), 1901(0.047), 7850(0.044), 2633(0.043), 10561(0.041), 7494(0.037), 10581(0.030), 387357(0.029), 330(0.029), 114769(0.026), 3665(0.026), 80704(0.024), 1788(0.024), 7297(0.023), 6256(0.020)","9834(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 9771(0.000), 1003(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2591585,NR,ABMR,"9771(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 975(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)","54014(0.059), 10578(0.048), 4283(0.042), 3958(0.034), 3320(0.034), 55423(0.033), 9834(0.031), 916(0.029), 3290(0.027), 3554(0.026), 3552(0.024), 727(0.023), 10663(0.023), 3717(0.023), 54106(0.022)"
GSM2591603,NR,ABMR,"4791(0.004), 1499(0.001), 6198(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6352(0.000)","51365(0.079), 10345(0.053), 5294(0.049), 3572(0.041), 7412(0.040), 3115(0.039), 26468(0.034), 196(0.034), 7450(0.034), 6775(0.026), 3502(0.024), 716(0.024), 7048(0.023), 1287(0.023), 5918(0.022)"
GSM2591662,ABMR,TCMR,"2335(0.119), 5603(0.110), 4214(0.058), 4087(0.033), 50852(0.030), 50943(0.025), 1234(0.006), 7297(0.003), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6382(0.000)","3934(0.061), 7177(0.059), 4853(0.057), 650(0.057), 929(0.053), 114548(0.050), 3902(0.041), 3115(0.040), 9104(0.039), 90(0.038), 2791(0.035), 2209(0.033), 7297(0.031), 3687(0.030), 6890(0.024)"
GSM2591739,NR,ABMR,"3123(0.027), 8744(0.007), 6363(0.000), 6256(0.000), 627(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6376(0.000), 6382(0.000), 6347(0.000), 5478(0.000), 6351(0.000)","4214(0.087), 3099(0.067), 6373(0.045), 3067(0.041), 112744(0.039), 1672(0.038), 28568(0.037), 6279(0.035), 114769(0.030), 7412(0.027), 80380(0.026), 6357(0.026), 27299(0.024), 914(0.020), 5530(0.020)"
GSM2591802,NR,ABMR,"939(0.048), 3164(0.047), 5368(0.044), 79812(0.041), 4311(0.035), 3626(0.030), 1514(0.029), 3821(0.027), 3669(0.022), 3665(0.021), 6521(0.018), 2204(0.018), 10747(0.015), 5778(0.015), 919(0.014)","57823(0.123), 5971(0.080), 5530(0.072), 114769(0.025), 348(0.017), 7292(0.011), 1514(0.010), 3717(0.009), 6402(0.005), 6285(0.000), 629(0.000), 602(0.000), 604(0.000), 6059(0.000), 6351(0.000)"
GSM2591817,NR,TCMR,"596(0.002), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 604(0.000), 6376(0.000), 6382(0.000), 6347(0.000), 6352(0.000), 6357(0.000), 6280(0.000), 6362(0.000), 6363(0.000), 5778(0.000)","3384(0.068), 28526(0.063), 2034(0.063), 6351(0.061), 3620(0.059), 684(0.057), 6256(0.052), 6349(0.048), 8995(0.043), 5054(0.041), 4088(0.040), 7037(0.036), 3667(0.036), 5293(0.034), 353219(0.032)"
GSM2591825,ABMR,NR,"9104(0.130), 5196(0.090), 7128(0.048), 29760(0.048), 3856(0.025), 4254(0.012), 3105(0.007), 695(0.001), 6300(0.000), 604(0.000), 6059(0.000), 608(0.000), 6352(0.000), 6357(0.000), 6359(0.000)","1956(0.053), 3592(0.050), 3122(0.050), 597(0.050), 7133(0.049), 4155(0.049), 3460(0.047), 6097(0.046), 5595(0.038), 1286(0.026), 9021(0.026), 23780(0.022), 944(0.022), 326(0.020), 3821(0.020)"
GSM2591843,ABMR,NR,"54873(0.113), 7483(0.098), 960(0.050), 3815(0.045), 3113(0.024), 81575(0.006), 7940(0.002), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 604(0.000), 6059(0.000), 608(0.000)","6359(0.079), 8638(0.066), 7851(0.065), 2322(0.060), 2209(0.052), 54739(0.052), 8644(0.045), 6366(0.043), 1397(0.042), 54106(0.036), 923(0.035), 3113(0.034), 728(0.030), 5918(0.024), 81575(0.017)"
GSM2591844,NR,ABMR,"5629(0.071), 2919(0.064), 3119(0.059), 143903(0.057), 2633(0.051), 713(0.044), 3514(0.043), 5603(0.042), 916(0.040), 3560(0.040), 939(0.040), 2357(0.038), 7827(0.036), 374(0.036), 3903(0.030)","220972(0.128), 1958(0.086), 4208(0.024), 10392(0.018), 970(0.015), 657(0.013), 79812(0.013), 6285(0.000), 629(0.000), 6300(0.000), 604(0.000), 6059(0.000), 608(0.000), 6095(0.000), 6357(0.000)"
GSM2591851,ABMR,NR,"114836(0.040), 4818(0.040), 4282(0.038), 1281(0.037), 56833(0.034), 608(0.033), 2597(0.033), 684(0.029), 1786(0.028), 5721(0.027), 58191(0.025), 5159(0.025), 7124(0.025), 4609(0.025), 3802(0.025)","9834(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2591928,ABMR,NR,"6689(0.045), 8644(0.042), 947(0.041), 7851(0.038), 3813(0.032), 4057(0.032), 8841(0.032), 4684(0.031), 3558(0.030), 3604(0.027), 1282(0.026), 5328(0.026), 3557(0.023), 384(0.023), 9332(0.020)","1286(0.004), 6256(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6374(0.000), 6376(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6198(0.000), 6352(0.000), 6357(0.000), 5771(0.000)"
GSM2591951,TCMR,ABMR,"55423(0.081), 604(0.054), 1521(0.053), 8743(0.042), 4599(0.039), 5329(0.037), 409(0.023), 30009(0.021), 3567(0.004), 627(0.000), 6279(0.000), 6256(0.000), 6280(0.000), 6283(0.000), 6375(0.000)","7903(0.052), 114548(0.043), 55540(0.038), 3454(0.037), 6777(0.036), 7832(0.036), 356(0.034), 8644(0.032), 3108(0.027), 301(0.025), 7042(0.025), 2999(0.023), 655(0.023), 5777(0.022), 57619(0.022)"
GSM2591957,ABMR,NR,"9647(0.092), 3664(0.057), 83888(0.043), 383(0.035), 4783(0.013), 7042(0.011), 10345(0.009), 27087(0.004), 80381(0.000), 6283(0.000), 6280(0.000), 6279(0.000), 6285(0.000), 629(0.000), 602(0.000)","9834(0.000), 9771(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 975(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2591991,ABMR,TCMR,"3824(0.158), 79368(0.067), 5777(0.057), 3551(0.016), 5327(0.014), 627(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 602(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6352(0.000)","3824(0.155), 958(0.063), 6095(0.062), 79368(0.040), 7040(0.026), 961(0.014), 3454(0.012), 4283(0.007), 3108(0.007), 2152(0.004), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 598(0.000)"
GSM2591998,ABMR,NR,"3134(0.041), 10578(0.039), 4049(0.036), 355(0.036), 558(0.034), 2152(0.029), 684(0.027), 3684(0.026), 5473(0.026), 8832(0.025), 944(0.025), 64115(0.023), 79368(0.022), 29760(0.022), 3484(0.019)","115004(0.002), 4277(0.001), 581(0.000), 6256(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6382(0.000), 6347(0.000), 6351(0.000), 6352(0.000), 5771(0.000)"
GSM2592001,ABMR,NR,"7033(0.106), 684(0.100), 9051(0.055), 604(0.016), 117157(0.002), 7045(0.001), 6198(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 6376(0.000), 6300(0.000), 6347(0.000)","7851(0.064), 397(0.045), 6597(0.037), 2597(0.037), 8784(0.036), 81575(0.031), 5970(0.030), 3560(0.025), 960(0.023), 5530(0.022), 6891(0.022), 58475(0.021), 10747(0.017), 6850(0.017), 3937(0.016)"
GSM2592014,ABMR,NR,"115362(0.064), 51365(0.059), 3604(0.052), 834(0.039), 6382(0.035), 1604(0.035), 6363(0.029), 3460(0.029), 374918(0.028), 6777(0.026), 5971(0.026), 348(0.023), 4282(0.022), 30845(0.022), 3091(0.021)","9834(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 9771(0.000), 10221(0.000)"
GSM2592022,ABMR,NR,"51365(0.123), 3164(0.025), 8519(0.018), 80381(0.014), 246778(0.014), 6439(0.010), 2022(0.006), 2919(0.002), 627(0.000), 6279(0.000), 6280(0.000), 6285(0.000), 598(0.000), 602(0.000), 604(0.000)","7422(0.172), 5450(0.091), 608(0.089), 3635(0.079), 10398(0.078), 10288(0.074), 27299(0.070), 55509(0.066), 28516(0.065), 5897(0.058), 924(0.032), 2214(0.025), 2022(0.020), 921(0.018), 3003(0.017)"
GSM2592042,ABMR,NR,"57823(0.204), 10010(0.075), 4208(0.074), 4600(0.059), 55423(0.022), 9332(0.004), 627(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000)","940(0.055), 1514(0.054), 6404(0.050), 9547(0.047), 7100(0.047), 728(0.046), 915(0.042), 116441(0.041), 7048(0.041), 7037(0.038), 57619(0.036), 3574(0.028), 4878(0.020), 3567(0.020), 4502(0.019)"
GSM2592063,NR,ABMR,"3574(0.006), 1915(0.002), 177(0.001), 6198(0.000), 6256(0.000), 627(0.000), 6279(0.000), 6373(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6300(0.000), 6362(0.000), 6349(0.000), 6351(0.000)","83888(0.069), 857(0.060), 117157(0.060), 952(0.049), 3459(0.043), 3596(0.038), 10663(0.037), 4071(0.033), 116835(0.030), 51365(0.030), 23(0.026), 3558(0.025), 6285(0.025), 861(0.023), 940(0.023)"
GSM2592082,ABMR,NR,"5450(0.051), 9021(0.045), 2206(0.039), 7076(0.039), 27063(0.036), 6672(0.035), 3001(0.034), 3804(0.033), 114836(0.028), 3566(0.026), 6349(0.026), 4283(0.025), 54210(0.024), 8692(0.022), 933(0.022)","5478(0.001), 4946(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6352(0.000), 6357(0.000), 6279(0.000), 6362(0.000), 6363(0.000)"
GSM2592152,ABMR,NR,"358(0.057), 84465(0.054), 3934(0.051), 240(0.051), 581(0.045), 3811(0.043), 26468(0.043), 5551(0.036), 58475(0.029), 9437(0.028), 7098(0.024), 4946(0.023), 3551(0.023), 5368(0.021), 6373(0.020)","6689(0.017), 2056(0.010), 3937(0.006), 1244(0.001), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 598(0.000), 602(0.000), 6347(0.000), 6349(0.000), 6256(0.000), 6352(0.000)"
